0: y0-s6, y2-s6, y4-s6, y6-s6, y8-s6, g0-s7, g2-s7, g1-s0, y1-s5, g4-s7, g3-s0, y3-s5, g6-s7, g5-s0, y5-s5, g8-s7, g7-s0, y7-s5, g9-s0, y9-s5, b0-s0, b1-s5, b2-s0, b3-s5, b4-s0, b5-s5, b6-s0, b7-s5, b8-s0, b9-s5, 
3261: y4-s6->s4, b7-s0, y7-s1, y5-s5, b9-s1->s0, b8-s1->s3, g9-s2->s1, b6-s5->s3, g4-s1, y0-s2, y8-s1, g0-s2, g1-s1, b1-s1, g3-s1, b0-s1, y1-s1, y3-s1, b2-s1, y9-s1, b3-s1, g6-s1, b5-s1, g5-s1, b4-s1, g8-s1, g7-s1, y2-s2, y6-s4->s6, g2-s2->s7, 
3262: b6-s5->s3, y4-s6->s4, b7-s0, g4-s1, b8-s3, y5-s5, y7-s1->s5, g9-s2->s1, y6-s4->s6, b9-s0, y8-s1, y0-s2, g1-s1, g0-s2, b1-s1, y2-s2, g3-s1, b0-s1, y1-s1, y3-s1, b2-s1, y9-s1, b3-s1, g6-s1, b5-s1, g5-s1, b4-s1, g8-s1, g7-s1, g2-s2->s7, 
3263: b7-s0->s1, y7-s1->s5, y5-s5->s1, b9-s0, g9-s2->s1, b8-s3, y0-s2, y6-s4->s6, b6-s5->s3, g0-s2, y2-s2, y4-s6->s4, g4-s1, y8-s1, g1-s1, b1-s1, g3-s1, b0-s1, y1-s1, y3-s1, b2-s1, y9-s1, b3-s1, g6-s1, b5-s1, g5-s1, b4-s1, g8-s1, g7-s1, g2-s2->s7, 
3264: b8-s3, y7-s5, b7-s0->s1, g9-s2->s1, y6-s4->s6, y5-s5->s1, b6-s5->s3, y4-s6->s4, b9-s0, g4-s1, y0-s2, y8-s1, g0-s2, g1-s1, y2-s2, b1-s1, g3-s1, b0-s1, y1-s1, y3-s1, b2-s1, y9-s1, b3-s1, g6-s1, b5-s1, g5-s1, b4-s1, g8-s1, g7-s1, g2-s2->s7, 
3265: y7-s5, g2-s7, g9-s2->s1, y6-s4->s6, y4-s6->s4, g4-s1, y0-s2, y8-s1, g0-s2, g1-s1, y2-s2, b1-s1, g3-s1, b0-s1, y1-s1, y3-s1, b2-s1, y9-s1, b3-s1, g6-s1, b5-s1, g5-s1, b4-s1, g8-s1, g7-s1, y5-s1, b6-s5->s3, b7-s0->s1, b9-s0, b8-s3->s5, 
3266: y6-s4->s6, y4-s6->s4, g2-s7->s2, g4-s1, y7-s5, b7-s0->s1, y8-s1, b9-s0, g1-s1, b1-s1, g3-s1, b0-s1, y1-s1, y3-s1, b2-s1, y9-s1, b3-s1, g6-s1, b5-s1, g5-s1, b4-s1, g8-s1, g7-s1, y5-s1, b8-s3->s5, g9-s2->s1, y0-s2, b6-s5->s3, g0-s2, y2-s2, 
3267: b8-s3->s5, y6-s4->s6, b6-s5->s3, y4-s6->s4, g2-s7->s2, b9-s0->s1, g9-s2->s1, y0-s2, g0-s2, y2-s2, y7-s5, y8-s1, g4-s1->s2, g1-s1, b1-s1, g3-s1, b0-s1, y1-s1, y3-s1, b2-s1, y9-s1, b3-s1, g6-s1, b5-s1, g5-s1, b4-s1, g8-s1, g7-s1, y5-s1, b7-s1, 
3268: b6-s3, y6-s6, g4-s1->s2, g9-s2->s1, y4-s6->s4, g2-s7->s2, y8-s1, y0-s2, g1-s1, g0-s2, b1-s1, y2-s2, g3-s1, b0-s1, y1-s1, y3-s1, b2-s1, y9-s1, b3-s1, g6-s1, b5-s1, g5-s1, b4-s1, g8-s1, g7-s1, y5-s1, b7-s1, b9-s0->s1, b8-s3->s5, y7-s5, 
3269: y7-s5, y4-s6->s4, g2-s7->s2, b6-s3, y6-s6, b9-s0->s1, g4-s1->s2, y0-s2->s1, b8-s3->s5, g0-s2, y2-s2, y8-s1, g1-s1, b1-s1, g3-s1, b0-s1, y1-s1, y3-s1, b2-s1, y9-s1, b3-s1, g6-s1, b5-s1, g5-s1, b4-s1, g8-s1, g7-s1, y5-s1, b7-s1, g9-s1, 
3270: b8-s3->s5, y7-s5, b6-s3, g4-s1->s2, y0-s2->s1, y4-s6->s4, g2-s7->s2, g1-s1, y8-s1, g0-s2, y6-s6, b1-s1, y2-s2, g3-s1, b0-s1, y1-s1, y3-s1, b2-s1, y9-s1, b3-s1, g6-s1, b5-s1, g5-s1, b4-s1, g8-s1, g7-s1, y5-s1, b7-s1, g9-s1, b9-s1, 
3271: g2-s2, y4-s4, g4-s1->s2, y0-s2->s1, b6-s3->s1, b8-s3->s5, y8-s1, g0-s2, y2-s2, y6-s6->s4, g1-s1, b1-s1, g3-s1, b0-s1, y1-s1, y3-s1, b2-s1, y9-s1, b3-s1, g6-s1, b5-s1, g5-s1, b4-s1, g8-s1, g7-s1, y5-s1, b7-s1, g9-s1, b9-s1, y7-s5, 
3272: b6-s3->s1, y7-s5->s1, y6-s6->s4, g4-s1->s2, y8-s1, g1-s1, b1-s1, g3-s1, b0-s1, y1-s1, y3-s1, b2-s1, y9-s1, b3-s1, g6-s1, b5-s1, g5-s1, b4-s1, g8-s1, g7-s1, y5-s1, b7-s1, g9-s1, b9-s1, y0-s2->s1, g2-s2, y4-s4, g0-s2, b8-s3->s5, y2-s2, 
3273: b6-s3->s1, y7-s5->s1, g4-s1->s2, y0-s2->s1, y8-s1, g0-s2, y2-s2, g2-s2, y6-s6->s4, b8-s3->s5, g1-s1, y4-s4, b1-s1, g3-s1, b0-s1, y1-s1, y3-s1, b2-s1, y9-s1, b3-s1, g6-s1, b5-s1, g5-s1, b4-s1, g8-s1, g7-s1, y5-s1, b7-s1, g9-s1, b9-s1, 
3274: b6-s3->s1, y6-s6->s4, b1-s1, g3-s1, b0-s1, y1-s1, y3-s1, b2-s1, y9-s1, b3-s1, g6-s1, b5-s1, g5-s1, b4-s1, g8-s1, g7-s1, y5-s1, b7-s1, g9-s1, b9-s1, y7-s1, b8-s5, y4-s4, g1-s1->s0, g4-s1->s2, y0-s2->s1, y8-s1, g0-s2, y2-s2, g2-s2, 
3275: b6-s3->s1, y4-s4->s2, b8-s5, y6-s6->s4, b1-s1, g3-s1, b0-s1, y1-s1, y3-s1, b2-s1, y9-s1, b3-s1, g6-s1, b5-s1, g5-s1, b4-s1, g8-s1, g7-s1, y5-s1, b7-s1, g9-s1, b9-s1, y7-s1, y8-s1->s2, g4-s2, g1-s1->s0, y0-s2->s1, g0-s2, y2-s2, g2-s2, 
3276: g1-s1->s0, y8-s1->s2, b1-s1->s3, y0-s2->s1, g0-s2, y2-s2, g2-s2, b8-s5, b6-s3->s1, y4-s4->s2, y6-s6->s4, g3-s1, g4-s2, b0-s1, y1-s1, y3-s1, b2-s1, y9-s1, b3-s1, g6-s1, b5-s1, g5-s1, b4-s1, g8-s1, g7-s1, y5-s1, b7-s1, g9-s1, b9-s1, y7-s1, 
3277: b8-s5, y8-s1->s2, b1-s1->s3, g4-s2->s7, y4-s4->s2, y6-s6->s4, g3-s1, b0-s1, y1-s1, y3-s1, b2-s1, y9-s1, b3-s1, g6-s1, b5-s1, g5-s1, b4-s1, g8-s1, g7-s1, y5-s1, b7-s1, g9-s1, b9-s1, y7-s1, b6-s1, y0-s1, g1-s0, g0-s2->s1, y2-s2, g2-s2, 
3278: g4-s2->s7, y4-s4->s2, y6-s6->s4, g1-s0, b0-s1, g3-s1->s0, g0-s2->s1, y1-s1, y2-s2, y3-s1, g2-s2, b2-s1, y9-s1, b3-s1, g6-s1, b5-s1, g5-s1, b4-s1, g8-s1, g7-s1, y5-s1, b7-s1, g9-s1, b9-s1, y7-s1, b6-s1, y0-s1, b1-s1->s3, b8-s5, y8-s1->s2, 
3279: g0-s2->s1, g4-s2->s7, y6-s6->s4, g1-s0, b0-s1, y8-s1->s2, y2-s2, y1-s1, g2-s2, y3-s1, b2-s1, y9-s1, b3-s1, g6-s1, b5-s1, g5-s1, b4-s1, g8-s1, g7-s1, y5-s1, b7-s1, g9-s1, b9-s1, y7-s1, b6-s1, y0-s1, y4-s2, b8-s5, g3-s1->s0, b1-s1->s3, 
3280: g0-s2->s1, g4-s2->s7, y6-s6->s4, b0-s1, b8-s5, g1-s0->s1, g3-s1->s0, y8-s1->s2, b1-s1->s3, y2-s2, y1-s1, g2-s2, y3-s1, y4-s2, b2-s1, y9-s1, b3-s1, g6-s1, b5-s1, g5-s1, b4-s1, g8-s1, g7-s1, y5-s1, b7-s1, g9-s1, b9-s1, y7-s1, b6-s1, y0-s1, 
3281: b1-s1->s3, g0-s2->s1, y2-s2, g2-s2, y4-s2, g3-s0, g4-s2->s7, b0-s1, y6-s4, b8-s5, g1-s0->s1, y8-s1->s2, y1-s1, y3-s1, b2-s1, y9-s1, b3-s1, g6-s1, b5-s1, g5-s1, b4-s1, g8-s1, g7-s1, y5-s1, b7-s1, g9-s1, b9-s1, y7-s1, b6-s1, y0-s1, 
3282: b1-s3, y6-s4, g1-s0->s1, y8-s1->s2, g0-s2->s1, b8-s5->s3, g3-s0, b0-s1, y2-s2, y1-s1, g2-s2, y3-s1, y4-s2, b2-s1, y9-s1, b3-s1, g6-s1, b5-s1, g5-s1, b4-s1, g8-s1, g7-s1, y5-s1, b7-s1, g9-s1, b9-s1, y7-s1, b6-s1, y0-s1, g4-s7, 
3283: b0-s1->s0, b1-s3->s5, g4-s7->s2, g3-s0, b8-s5->s3, y1-s1, y3-s1, y8-s2, y6-s4, g0-s2->s1, b2-s1, y2-s2, y9-s1, g2-s2, b3-s1, y4-s2, g6-s1, b5-s1, g5-s1, b4-s1, g8-s1, g7-s1, y5-s1, b7-s1, g9-s1, b9-s1, y7-s1, b6-s1, y0-s1, g1-s1, 
3284: y6-s4, b0-s1->s0, g0-s2->s1, y8-s2->s4, b8-s5->s3, g4-s7->s2, g3-s0, y1-s1, y2-s2, y3-s1, g2-s2, b2-s1, y4-s2, y9-s1, b3-s1, g6-s1, b5-s1, g5-s1, b4-s1, g8-s1, g7-s1, y5-s1, b7-s1, g9-s1, b9-s1, y7-s1, b6-s1, y0-s1, g1-s1, b1-s3->s5, 
3285: y6-s4, b0-s1->s0, y2-s2->s1, y8-s2->s4, b1-s3->s5, g4-s7->s2, g3-s0, y1-s1, g2-s2, y3-s1, y4-s2, b2-s1, y9-s1, b3-s1, g6-s1, b5-s1, g5-s1, b4-s1, g8-s1, g7-s1, y5-s1, b7-s1, g9-s1, b9-s1, y7-s1, b6-s1, y0-s1, g1-s1, g0-s1, b8-s5->s3, 
3286: y6-s4, y2-s2->s1, y8-s2->s4, b8-s5->s3, y1-s1, g2-s2, y3-s1, y4-s2, b2-s1, y9-s1, b3-s1, g6-s1, b5-s1, g5-s1, b4-s1, g8-s1, g7-s1, y5-s1, b7-s1, g9-s1, b9-s1, y7-s1, b6-s1, y0-s1, g1-s1, g0-s1, g3-s0, b1-s3->s5, g4-s7->s2, b0-s0, 
3287: g3-s0, y1-s1, y6-s4, y2-s2->s1, y8-s2->s4, b1-s3->s5, b8-s5->s3, g4-s7->s2, b0-s0, y3-s1, g2-s2, b2-s1, y4-s2, y9-s1, b3-s1, g6-s1, b5-s1, g5-s1, b4-s1, g8-s1, g7-s1, y5-s1, b7-s1, g9-s1, b9-s1, y7-s1, b6-s1, y0-s1, g1-s1, g0-s1, 
3288: g4-s2, y8-s4, y1-s1->s2, y2-s2->s1, y6-s4->s2, b8-s5->s3, g3-s0, y3-s1, g2-s2, b0-s0, b2-s1, y4-s2, y9-s1, b3-s1, g6-s1, b5-s1, g5-s1, b4-s1, g8-s1, g7-s1, y5-s1, b7-s1, g9-s1, b9-s1, y7-s1, b6-s1, y0-s1, g1-s1, g0-s1, b1-s3->s5, 
3289: y8-s4, y1-s1->s2, y2-s2->s1, b1-s3->s5, y6-s4->s2, b8-s5->s3, g3-s0, y3-s1, g2-s2, b0-s0, b2-s1, y4-s2, y9-s1, g4-s2, b3-s1, g6-s1, b5-s1, g5-s1, b4-s1, g8-s1, g7-s1, y5-s1, b7-s1, g9-s1, b9-s1, y7-s1, b6-s1, y0-s1, g1-s1, g0-s1, 
3290: g3-s0->s1, y2-s2->s1, b1-s3->s5, y8-s4->s6, b8-s5->s3, b0-s0, g2-s2, y4-s2, g4-s2, y3-s1, y6-s4->s2, b2-s1, y1-s1->s2, y9-s1, b3-s1, g6-s1, b5-s1, g5-s1, b4-s1, g8-s1, g7-s1, y5-s1, b7-s1, g9-s1, b9-s1, y7-s1, b6-s1, y0-s1, g1-s1, g0-s1, 
3291: y1-s1->s2, y6-s4->s2, y8-s4->s6, y3-s1, b0-s0, y2-s2->s1, b1-s3->s5, b2-s1, g3-s0->s1, g2-s2, y9-s1, y4-s2, b3-s1, g4-s2, g6-s1, b5-s1, g5-s1, b4-s1, g8-s1, g7-s1, y5-s1, b7-s1, g9-s1, b9-s1, y7-s1, b6-s1, y0-s1, g1-s1, g0-s1, b8-s3, 
3292: y6-s2, b8-s3, b1-s5, y1-s1->s2, y8-s4->s6, y3-s1, b0-s0, y2-s2->s1, b2-s1, g3-s0->s1, g2-s2, y9-s1, y4-s2, b3-s1, g4-s2, g6-s1, b5-s1, g5-s1, b4-s1, g8-s1, g7-s1, y5-s1, b7-s1, g9-s1, b9-s1, y7-s1, b6-s1, y0-s1, g1-s1, g0-s1, 
3293: y2-s2->s1, b2-s1, g2-s2, y9-s1, y4-s2, b3-s1, g4-s2, g6-s1, y6-s2, b5-s1, g5-s1, b4-s1, g8-s1, g7-s1, y5-s1, b7-s1, g9-s1, b9-s1, y7-s1, b6-s1, y0-s1, g1-s1, g0-s1, g3-s1, b0-s0, b8-s3, b1-s5, y1-s1->s2, y8-s4->s6, y3-s1, 
3294: g2-s2->s1, b8-s3->s1, y8-s4->s6, b0-s0, y9-s1, b1-s5, b2-s1->s0, y1-s1->s2, y4-s2, b3-s1, y3-s1, g4-s2, g6-s1, y6-s2, b5-s1, g5-s1, b4-s1, g8-s1, g7-s1, y5-s1, b7-s1, g9-s1, b9-s1, y7-s1, b6-s1, y0-s1, g1-s1, g0-s1, g3-s1, y2-s1, 
3295: b2-s1->s0, g2-s2->s1, b8-s3->s1, y8-s4->s6, b0-s0, y4-s2, g4-s2, y6-s2, b1-s5, y9-s1, y1-s1->s2, b3-s1, y3-s1, g6-s1, b5-s1, g5-s1, b4-s1, g8-s1, g7-s1, y5-s1, b7-s1, g9-s1, b9-s1, y7-s1, b6-s1, y0-s1, g1-s1, g0-s1, g3-s1, y2-s1, 
3296: y9-s1->s5, g2-s2->s1, b8-s3->s1, b1-s5->s3, b0-s0, y4-s2, g4-s2, y6-s2, b3-s1, y8-s4->s6, g6-s1, b2-s1->s0, y1-s1->s2, b5-s1, y3-s1, g5-s1, b4-s1, g8-s1, g7-s1, y5-s1, b7-s1, g9-s1, b9-s1, y7-s1, b6-s1, y0-s1, g1-s1, g0-s1, g3-s1, y2-s1, 
3297: g2-s2->s1, b1-s5->s3, y4-s2, g4-s2, y6-s2, b0-s0, b8-s3->s1, y8-s4->s6, b2-s0, b3-s1, y1-s2, y3-s1->s2, y9-s1->s5, g6-s1, b5-s1, g5-s1, b4-s1, g8-s1, g7-s1, y5-s1, b7-s1, g9-s1, b9-s1, y7-s1, b6-s1, y0-s1, g1-s1, g0-s1, g3-s1, y2-s1, 
3298: y1-s2, y9-s5, y3-s1->s2, g2-s2->s1, b8-s3->s1, y8-s4->s6, b1-s5->s3, b0-s0, b3-s1, y4-s2, b2-s0, g6-s1, g4-s2, b5-s1, y6-s2, g5-s1, b4-s1, g8-s1, g7-s1, y5-s1, b7-s1, g9-s1, b9-s1, y7-s1, b6-s1, y0-s1, g1-s1, g0-s1, g3-s1, y2-s1, 
3299: b0-s0->s1, g2-s2->s1, b8-s3->s1, b1-s5->s3, b2-s0, b3-s1, y4-s2, g6-s1, g4-s2, b5-s1, y6-s2, g5-s1, b4-s1, g8-s1, g7-s1, y5-s1, b7-s1, g9-s1, b9-s1, y7-s1, b6-s1, y0-s1, g1-s1, g0-s1, g3-s1, y2-s1, y9-s5, y1-s2->s4, y8-s4->s6, y3-s1->s2, 
3300: b3-s1, g2-s2->s1, y1-s2->s4, g6-s1, y4-s2, b5-s1, g4-s2, g5-s1, y6-s2, b4-s1, g8-s1, g7-s1, y5-s1, b7-s1, g9-s1, b9-s1, y7-s1, b6-s1, y0-s1, g1-s1, g0-s1, g3-s1, y2-s1, b8-s1, b1-s5->s3, b2-s0, y9-s5, y8-s6, b0-s0->s1, y3-s1->s2, 
3301: y1-s2->s4, g6-s1, y3-s1->s2, b5-s1, g5-s1, b4-s1, g8-s1, g7-s1, y5-s1, b7-s1, g9-s1, b9-s1, y7-s1, b6-s1, y0-s1, g1-s1, g0-s1, g3-s1, y2-s1, b8-s1, b2-s0, y9-s5, y8-s6, b0-s0->s1, b3-s1->s3, g2-s2->s1, b1-s5->s3, y4-s2, g4-s2, y6-s2, 
3302: y1-s2->s4, b1-s5->s3, b2-s0, y9-s5, y8-s6, y3-s1->s2, b3-s1->s3, y4-s2->s1, g4-s2, y6-s2, g6-s1, b5-s1, g5-s1, b4-s1, g8-s1, g7-s1, y5-s1, b7-s1, g9-s1, b9-s1, y7-s1, b6-s1, y0-s1, g1-s1, g0-s1, g3-s1, y2-s1, b8-s1, b0-s1, g2-s1, 
3303: y1-s4, y9-s5, y8-s6, y3-s1->s2, b3-s1->s3, y4-s2->s1, b1-s5->s3, b2-s0, g6-s1, g4-s2, b5-s1, y6-s2, g5-s1, b4-s1, g8-s1, g7-s1, y5-s1, b7-s1, g9-s1, b9-s1, y7-s1, b6-s1, y0-s1, g1-s1, g0-s1, g3-s1, y2-s1, b8-s1, b0-s1, g2-s1, 
3304: y3-s1->s2, b3-s1->s3, y4-s2->s1, y1-s4->s6, y9-s5->s1, b1-s5->s3, y8-s6->s4, b2-s0, g6-s1, g4-s2, b5-s1, y6-s2, g5-s1, b4-s1, g8-s1, g7-s1, y5-s1, b7-s1, g9-s1, b9-s1, y7-s1, b6-s1, y0-s1, g1-s1, g0-s1, g3-s1, y2-s1, b8-s1, b0-s1, g2-s1, 
3305: y3-s2, b1-s3, g6-s1->s2, b3-s1->s3, y1-s4->s6, y9-s5->s1, y8-s6->s4, b2-s0, b5-s1, g5-s1, b4-s1, g8-s1, g7-s1, y5-s1, b7-s1, g9-s1, b9-s1, y7-s1, b6-s1, y0-s1, g1-s1, g0-s1, g3-s1, y2-s1, b8-s1, b0-s1, g2-s1, y4-s2->s1, g4-s2, y6-s2, 
3306: y4-s2->s1, g4-s2, y6-s2, b3-s1->s3, b5-s1, b2-s0, y1-s4->s6, y8-s6->s4, g5-s1, y3-s2, b1-s3, g6-s1->s2, b4-s1, g8-s1, g7-s1, y5-s1, b7-s1, g9-s1, b9-s1, y7-s1, b6-s1, y0-s1, g1-s1, g0-s1, g3-s1, y2-s1, b8-s1, b0-s1, g2-s1, y9-s1, 
3307: b1-s3, b3-s1->s3, y4-s2->s1, y8-s6->s4, g5-s1, b5-s1, g4-s2, b4-s1, y6-s2, g8-s1, g7-s1, y5-s1, b7-s1, g9-s1, b9-s1, y7-s1, b6-s1, y0-s1, g1-s1, g0-s1, g3-s1, y2-s1, b8-s1, b0-s1, g2-s1, y9-s1, b2-s0, g6-s1->s2, y3-s2->s4, y1-s4->s6, 
3308: y8-s6->s4, b2-s0->s1, b5-s1->s3, y4-s2->s1, y3-s2->s4, g4-s2, y6-s2, b1-s3->s1, y1-s4->s6, b4-s1, g5-s1->s0, g6-s1->s2, g8-s1, g7-s1, y5-s1, b7-s1, g9-s1, b9-s1, y7-s1, b6-s1, y0-s1, g1-s1, g0-s1, g3-s1, y2-s1, b8-s1, b0-s1, g2-s1, y9-s1, b3-s3, 
3309: g6-s1->s2, b5-s1->s3, y3-s2->s4, y1-s4->s6, y8-s6->s4, b4-s1, b3-s3, b2-s0->s1, g5-s1->s0, y4-s2->s1, b1-s3->s1, g8-s1, g4-s2, g7-s1, y6-s2, y5-s1, b7-s1, g9-s1, b9-s1, y7-s1, b6-s1, y0-s1, g1-s1, g0-s1, g3-s1, y2-s1, b8-s1, b0-s1, g2-s1, y9-s1, 
3310: b2-s0->s1, g5-s1->s0, g6-s1->s2, b5-s1->s3, g4-s2->s1, y3-s2->s4, y1-s4->s6, y8-s6->s4, g8-s1, b4-s1, y6-s2, g7-s1, y5-s1, b7-s1, g9-s1, b9-s1, y7-s1, b6-s1, y0-s1, g1-s1, g0-s1, g3-s1, y2-s1, b8-s1, b0-s1, g2-s1, y9-s1, y4-s1, b1-s3->s1, b3-s3, 
3311: y3-s4, b4-s1->s0, g6-s1->s2, b5-s1->s3, g4-s2->s1, b1-s3->s1, b3-s3->s5, y1-s4->s6, y8-s6->s4, g5-s0, g8-s1, y6-s2, g7-s1, y5-s1, b7-s1, g9-s1, b9-s1, y7-s1, b6-s1, y0-s1, g1-s1, g0-s1, g3-s1, y2-s1, b8-s1, b0-s1, g2-s1, y9-s1, y4-s1, b2-s1, 
3312: y3-s4, b4-s1->s0, g4-s2->s1, b1-s3->s1, b3-s3->s5, y8-s6->s4, g5-s0, g8-s1, y6-s2, g7-s1, y5-s1, b7-s1, g9-s1, b9-s1, y7-s1, b6-s1, y0-s1, g1-s1, g0-s1, g3-s1, y2-s1, b8-s1, b0-s1, g2-s1, y9-s1, y4-s1, b2-s1, b5-s1->s3, g6-s1->s2, y1-s4->s6, 
3313: y8-s6->s4, g6-s2, b5-s1->s3, y1-s4->s6, g5-s0, g8-s1, y3-s4, b4-s1->s0, g4-s2->s1, b1-s3->s1, b3-s3->s5, g7-s1, y6-s2, y5-s1, b7-s1, g9-s1, b9-s1, y7-s1, b6-s1, y0-s1, g1-s1, g0-s1, g3-s1, y2-s1, b8-s1, b0-s1, g2-s1, y9-s1, y4-s1, b2-s1, 
3314: g4-s2->s1, g6-s2->s7, b3-s3->s5, g7-s1, y6-s2, y5-s1, b7-s1, g9-s1, b9-s1, y7-s1, b6-s1, y0-s1, g1-s1, g0-s1, g3-s1, y2-s1, b8-s1, b0-s1, g2-s1, y9-s1, y4-s1, b2-s1, b1-s1, y3-s4, y8-s4, b4-s0, y1-s6, g5-s0->s1, g8-s1->s2, b5-s3, 
3315: b4-s0, g5-s0->s1, g6-s2->s7, y5-s1, b7-s1, g9-s1, b9-s1, y7-s1, b6-s1, y0-s1, g1-s1, g0-s1, g3-s1, y2-s1, b8-s1, b0-s1, g2-s1, y9-s1, y4-s1, b2-s1, b1-s1, b5-s3, y1-s6, y3-s4, g7-s1->s0, g8-s1->s2, g4-s2->s1, b3-s3->s5, y8-s4, y6-s2, 
3316: g6-s2->s7, b3-s3->s5, b4-s0, g5-s0->s1, y1-s6, g7-s1->s0, g4-s2->s1, b5-s3, y3-s4, y6-s2, y8-s4, y5-s1, b7-s1, g9-s1, b9-s1, y7-s1, b6-s1, y0-s1, g1-s1, g0-s1, g3-s1, y2-s1, b8-s1, b0-s1, g2-s1, y9-s1, y4-s1, b2-s1, b1-s1, g8-s1->s2, 
3317: y8-s4, g7-s1->s0, g4-s2->s1, g6-s2->s7, b3-s3->s5, y3-s4->s6, b4-s0, y6-s2, b5-s3, y1-s6->s4, y5-s1, g8-s1->s2, b7-s1, g9-s1, b9-s1, y7-s1, b6-s1, y0-s1, g1-s1, g0-s1, g3-s1, y2-s1, b8-s1, b0-s1, g2-s1, y9-s1, y4-s1, b2-s1, b1-s1, g5-s1, 
3318: y8-s4, g8-s1->s2, y6-s2->s1, g6-s2->s7, b3-s3->s5, y3-s4->s6, y1-s6->s4, b4-s0, y5-s1, b5-s3, g7-s0, b7-s1, g9-s1, b9-s1, y7-s1, b6-s1, y0-s1, g1-s1, g0-s1, g3-s1, y2-s1, b8-s1, b0-s1, g2-s1, y9-s1, y4-s1, b2-s1, b1-s1, g5-s1, g4-s1, 
3319: y8-s4, y6-s2->s1, y1-s6->s4, b4-s0, g7-s0, y5-s1, g6-s7, b3-s3->s5, b7-s1, b5-s3, g9-s1, b9-s1, y7-s1, b6-s1, y0-s1, g1-s1, g0-s1, g3-s1, y2-s1, b8-s1, b0-s1, g2-s1, y9-s1, y4-s1, b2-s1, b1-s1, g5-s1, g4-s1, g8-s1->s2, y3-s4->s6, 
3320: y1-s6->s4, g6-s7->s2, b7-s1, g8-s1->s2, y6-s2->s1, y3-s4->s6, g9-s1, y5-s1, b9-s1, y7-s1, b6-s1, y0-s1, g1-s1, g0-s1, g3-s1, y2-s1, b8-s1, b0-s1, g2-s1, y9-s1, y4-s1, b2-s1, b1-s1, g5-s1, g4-s1, y8-s4, b4-s0, b3-s3->s5, g7-s0, b5-s3, 
3321: y3-s4->s6, y1-s6->s4, g8-s1->s2, y6-s2->s1, y5-s1, b5-s3->s5, b4-s0, g6-s7->s2, g7-s0, b7-s1, y8-s4, b3-s5, g9-s1, b9-s1, y7-s1, b6-s1, y0-s1, g1-s1, g0-s1, g3-s1, y2-s1, b8-s1, b0-s1, g2-s1, y9-s1, y4-s1, b2-s1, b1-s1, g5-s1, g4-s1, 
3322: b7-s1, g9-s1, b9-s1, y7-s1, b6-s1, y0-s1, g1-s1, g0-s1, g3-s1, y2-s1, b8-s1, b0-s1, g2-s1, y9-s1, y4-s1, b2-s1, b1-s1, g5-s1, g4-s1, b4-s0, g8-s2, y5-s1->s2, y6-s2->s1, b5-s3->s5, y8-s4->s2, y3-s4->s6, b3-s5->s3, y1-s6->s4, g6-s7->s2, g7-s0, 
3323: y5-s1->s2, y6-s2->s1, b5-s3->s5, y8-s4->s2, y3-s4->s6, b3-s5->s3, y1-s6->s4, g6-s7->s2, g7-s0, b4-s0->s1, b7-s1, g9-s1, g8-s2->s7, b9-s1, y7-s1, b6-s1, y0-s1, g1-s1, g0-s1, g3-s1, y2-s1, b8-s1, b0-s1, g2-s1, y9-s1, y4-s1, b2-s1, b1-s1, g5-s1, g4-s1, 
3324: b4-s0->s1, b7-s1->s3, b3-s5->s3, g6-s7->s2, g7-s0, y1-s6->s4, g9-s1, y6-s2->s1, g8-s2->s7, b5-s3->s5, y3-s4->s6, b9-s1, y7-s1, b6-s1, y0-s1, g1-s1, g0-s1, g3-s1, y2-s1, b8-s1, b0-s1, g2-s1, y9-s1, y4-s1, b2-s1, b1-s1, g5-s1, g4-s1, y5-s1->s2, y8-s4->s2, 
3325: y3-s4->s6, b3-s5->s3, y1-s6->s4, g6-s2, y5-s1->s2, b7-s1->s3, y6-s2->s1, g8-s2->s7, b5-s3->s5, g7-s0, y8-s4->s2, b9-s1, b4-s0->s1, g9-s1->s0, y7-s1, b6-s1, y0-s1, g1-s1, g0-s1, g3-s1, y2-s1, b8-s1, b0-s1, g2-s1, y9-s1, y4-s1, b2-s1, b1-s1, g5-s1, g4-s1, 
3326: g6-s2, g9-s1->s0, g8-s2->s7, y3-s4->s6, b3-s5->s3, y1-s6->s4, y8-s2, b7-s1->s3, g7-s0, y5-s1->s2, b5-s3->s5, b9-s1, y7-s1, b6-s1, y0-s1, g1-s1, g0-s1, g3-s1, y2-s1, b8-s1, b0-s1, g2-s1, y9-s1, y4-s1, b2-s1, b1-s1, g5-s1, g4-s1, b4-s1, y6-s1, 
3327: y3-s6, y5-s1->s2, g6-s2->s1, g7-s0, g8-s2->s7, b5-s3->s5, b3-s5->s3, b9-s1, y8-s2, y1-s4, g9-s1->s0, b7-s1->s3, y7-s1, b6-s1, y0-s1, g1-s1, g0-s1, g3-s1, y2-s1, b8-s1, b0-s1, g2-s1, y9-s1, y4-s1, b2-s1, b1-s1, g5-s1, g4-s1, b4-s1, y6-s1, 
