0: g0-s1, y1-s2, b0-s0, g1-s3, y0-s3, b1-s3, 
308: g0-s0, b0-s2->s3, y0-s1, b1-s2, y1-s2, g1-s3, 
309: g0-s0, b0-s3, g1-s3->s0, y0-s1, b1-s2, y1-s2, 
310: y0-s1->s3, g1-s3->s0, g0-s0, b0-s3, b1-s2, y1-s2, 
311: b0-s3, g1-s3->s0, g0-s0, b1-s2, y0-s3, y1-s2, 
312: y0-s3, g0-s0->s3, b1-s2->s0, b0-s3->s2, g1-s0, y1-s2, 
313: y1-s2, g1-s0, y0-s3, g0-s0->s3, b1-s2->s0, b0-s3->s2, 
314: y1-s2, b0-s2, g1-s0, g0-s0->s3, y0-s3->s1, b1-s0, 
315: y0-s1, b0-s2, g1-s0, g0-s3, y1-s2->s1, b1-s0, 
316: b0-s2, g0-s3, y1-s2->s1, g1-s0, b1-s0, y0-s1, 
317: y0-s1, b0-s2, g0-s3, y1-s2->s1, g1-s0, b1-s0, 
318: b0-s2, y0-s1->s2, y1-s2->s1, g0-s3->s0, g1-s0, b1-s0, 
319: b0-s2->s0, y1-s1, b1-s0, g0-s3->s0, y0-s1->s2, g1-s0->s1, 
320: g0-s3->s0, y0-s1->s2, b1-s0, y1-s1, b0-s2->s0, g1-s1, 
321: y0-s1->s2, b1-s0, b0-s0, g0-s0, y1-s1->s3, g1-s1, 
322: y1-s3, b1-s0, b0-s0, g0-s0, g1-s1, y0-s2, 
323: y0-s2, y1-s3, b1-s0, b0-s0, g0-s0, g1-s1->s0, 
324: b1-s0, b0-s0, g0-s0, g1-s0, y1-s3->s1, y0-s2->s1, 
325: b0-s0, y1-s1, b1-s0->s2, y0-s2->s1, g0-s0, g1-s0, 
326: y1-s1, b1-s0->s2, y0-s2->s1, b0-s0, g0-s0, g1-s0, 
327: b1-s2, y0-s2->s1, b0-s0, g0-s0, g1-s0, y1-s1->s2, 
328: y1-s1->s2, b1-s2, y0-s1, b0-s0, g0-s0, g1-s0, 
329: y1-s1->s2, y0-s1->s3, b0-s0, g0-s0, g1-s0, b1-s2, 
330: y1-s1->s2, b0-s0, g0-s0, g1-s0, y0-s3, b1-s2, 
331: y0-s3, b0-s0, y1-s2, b1-s2->s3, g0-s0, g1-s0, 
332: y1-s2, y0-s3, b0-s0->s2, b1-s2->s3, g0-s0, g1-s0, 
333: y1-s2, y0-s3, b0-s0->s2, g0-s0, b1-s3, g1-s0, 
334: b0-s2, b1-s3, y1-s2->s1, g0-s0, g1-s0, y0-s3->s1, 
335: b0-s2, b1-s3, g0-s0, g1-s0, y0-s1, y1-s2->s1, 
336: b0-s2, y1-s2->s1, g0-s0, y0-s1, g1-s0, b1-s3->s2, 
337: y0-s1, b1-s3->s2, g0-s0, g1-s0, b0-s2, y1-s2->s1, 
338: g0-s0, y1-s1, b0-s2, y0-s1->s2, g1-s0, b1-s2, 
339: g0-s0, g1-s0, y0-s1->s2, y1-s1, b1-s2, b0-s2->s3, 
340: b1-s2, y0-s1->s2, g0-s0, b0-s2->s3, g1-s0, y1-s1, 
341: b0-s3, y0-s1->s2, g1-s0, b1-s2, g0-s0->s1, y1-s1->s3, 
342: y0-s2, b1-s2->s0, g0-s1, b0-s3, y1-s3, g1-s0, 
343: b1-s2->s0, b0-s3->s2, g1-s0, g0-s1, y0-s2, y1-s3, 
344: g1-s0, g0-s1, y0-s2, y1-s3, b1-s0, b0-s3->s2, 
345: b0-s2, g1-s0->s3, y0-s2->s1, g0-s1->s0, y1-s3->s1, b1-s0, 
346: b1-s0, y1-s1, b0-s2, g1-s0->s3, g0-s0, y0-s2->s1, 
347: y1-s1, b0-s2, g1-s0->s3, y0-s2->s1, b1-s0, g0-s0, 
348: g1-s3, b0-s2->s0, y0-s2->s1, b1-s0, g0-s0, y1-s1, 
349: y0-s1, y1-s1->s2, b1-s0, g0-s0, g1-s3->s0, b0-s2->s0, 
350: b1-s0, y0-s1, y1-s1->s2, g0-s0, b0-s0, g1-s3->s0, 
351: y1-s1->s2, b1-s0, y0-s1, g1-s3->s0, g0-s0, b0-s0, 
352: y1-s1->s2, y0-s1->s3, b1-s0, g0-s0, b0-s0, g1-s0, 
353: y1-s2, y0-s3, b1-s0->s2, g0-s0, b0-s0, g1-s0, 
354: y0-s3, b1-s0->s2, y1-s2->s1, g0-s0, b0-s0, g1-s0, 
355: y0-s3, g0-s0, b0-s0, g1-s0, b1-s2, y1-s2->s1, 
356: b1-s2, y0-s3, y1-s2->s1, g0-s0, b0-s0, g1-s0, 
357: b1-s2, y1-s2->s1, g0-s0, y0-s3->s1, b0-s0, g1-s0, 
358: y0-s1, b0-s0, y1-s1, g1-s0, b1-s2, g0-s0->s3, 
359: g0-s0->s3, b1-s2, y0-s1, y1-s1, b0-s0, g1-s0, 
360: y1-s1, g0-s0->s3, y0-s1->s2, b0-s0, g1-s0, b1-s2->s3, 
361: y1-s1, y0-s1->s2, b1-s2->s3, b0-s0, g1-s0, g0-s3, 
362: g0-s3, y0-s1->s2, y1-s1->s3, b0-s0, b1-s3, g1-s0, 
363: b0-s0, g1-s0, y0-s1->s2, g0-s3, b1-s3, y1-s3, 
364: b0-s0->s2, g1-s0, y0-s2, g0-s3, b1-s3, y1-s3, 
365: b0-s0->s2, b1-s3, y1-s3, g1-s0, g0-s3->s0, y0-s2, 
366: g1-s0, y0-s2, b0-s2, b1-s3, y1-s3, g0-s3->s0, 
367: y0-s2, b1-s3, g1-s0->s1, b0-s2, y1-s3, g0-s3->s0, 
368: b1-s3->s2, g1-s1, y1-s3, y0-s2, b0-s2, g0-s0, 
369: y1-s3, g1-s1->s0, g0-s0, y0-s2, b0-s2, b1-s3->s2, 
370: g0-s0, g1-s0, b0-s2, b1-s2, y1-s3, y0-s2->s1, 
371: g0-s0, b0-s2, y1-s3, y0-s2->s1, g1-s0, b1-s2, 
372: y0-s2->s1, b0-s2, b1-s2, g0-s0, y1-s3->s1, g1-s0, 
373: y1-s1, b0-s2, y0-s2->s1, b1-s2, g0-s0, g1-s0, 
374: g1-s0, y1-s1, b0-s2, g0-s0->s1, y0-s1, b1-s2, 
375: b1-s2, g1-s0, y1-s1->s2, y0-s1, g0-s1, b0-s2->s3, 
376: b1-s2, g1-s0, y1-s1->s2, b0-s2->s3, y0-s1, g0-s1, 
377: b0-s3, b1-s2, g1-s0, y1-s1->s2, y0-s1, g0-s1, 
378: g0-s1, y1-s1->s2, b1-s2, b0-s3, y0-s1->s3, g1-s0, 
379: b1-s2, y1-s2, g0-s1->s0, b0-s3, y0-s3, g1-s0->s3, 
380: b0-s3, y0-s3, g0-s0, g1-s0->s3, b1-s2, y1-s2, 
381: y0-s3, g0-s0, b0-s3->s2, y1-s2, g1-s0->s3, b1-s2->s0, 
382: b0-s3->s2, g0-s0, y1-s2, y0-s3, b1-s2->s0, g1-s3, 
383: g0-s0, y1-s2, g1-s3, b1-s0, b0-s2, y0-s3->s1, 
384: g1-s3, y0-s1, g0-s0, y1-s2, b1-s0, b0-s2, 
385: y0-s1->s2, g1-s3->s0, g0-s0, y1-s2, b1-s0, b0-s2, 
386: y0-s1->s2, g1-s3->s0, g0-s0, y1-s2, b1-s0, b0-s2, 
387: y0-s1->s2, y1-s2->s1, g1-s3->s0, g0-s0, b0-s2, b1-s0, 
388: b0-s2, g0-s0->s3, y1-s2->s1, b1-s0, g1-s0, y0-s1->s2, 
389: b0-s2, g0-s0->s3, y1-s2->s1, b1-s0, y0-s2, g1-s0, 
390: y0-s2, g0-s0->s3, b0-s2->s0, y1-s2->s1, b1-s0, g1-s0, 
391: y1-s1, y0-s2, g0-s3, b0-s2->s0, b1-s0, g1-s0, 
392: b1-s0, g1-s0, b0-s0, y0-s2, y1-s1, g0-s3->s0, 
393: g1-s0, y1-s1, b0-s0, y0-s2->s1, g0-s3->s0, b1-s0->s2, 
394: g1-s0, b1-s0->s2, y1-s1->s3, y0-s2->s1, g0-s3->s0, b0-s0, 
395: b1-s2, y1-s3, y0-s2->s1, g1-s0, b0-s0, g0-s0, 
396: g1-s0, b1-s2, y1-s3, y0-s2->s1, b0-s0, g0-s0, 
397: y0-s1, y1-s3->s1, b1-s2->s3, g1-s0, b0-s0, g0-s0, 
398: g1-s0->s1, b0-s0, g0-s0, b1-s2->s3, y0-s1, y1-s1, 
399: b1-s3, b0-s0, y0-s1, g0-s0, y1-s1, g1-s1, 
400: b1-s3, y0-s1->s3, b0-s0, g0-s0, y1-s1, g1-s1, 
401: b1-s3, y0-s3, b0-s0, g0-s0, y1-s1, g1-s1, 
402: b1-s3, y0-s3, b0-s0->s2, y1-s1, g1-s1, g0-s0, 
403: g0-s0->s1, b0-s0->s2, y1-s1->s2, b1-s3->s2, g1-s1, y0-s3, 
404: y1-s1->s2, b0-s2, y0-s3, g1-s1->s0, b1-s3->s2, g0-s1, 
405: b0-s2, y1-s1->s2, y0-s3->s1, g0-s1, b1-s2, g1-s0, 
406: y1-s1->s2, g1-s0, b0-s2, g0-s1, b1-s2, y0-s1, 
407: b1-s2, g0-s1->s0, b0-s2->s3, g1-s0, y0-s1, y1-s2, 
408: g1-s0, y0-s1, g0-s0, b0-s2->s3, b1-s2, y1-s2, 
409: g1-s0, y0-s1, b1-s2, g0-s0, y1-s2, b0-s3, 
410: y0-s1->s2, b1-s2, y1-s2, g1-s0, b0-s3->s2, g0-s0, 
411: b1-s2, b0-s3->s2, g1-s0, y1-s2, g0-s0, y0-s1->s2, 
412: b1-s2, g1-s0, y1-s2, g0-s0, b0-s2, y0-s1->s2, 
413: g1-s0->s3, b1-s2->s0, g0-s0, y1-s2, b0-s2, y0-s1->s2, 
414: g1-s0->s3, g0-s0, y1-s2, b0-s2, b1-s2->s0, y0-s2, 
415: g1-s0->s3, y1-s2->s1, g0-s0, b1-s0, b0-s2, y0-s2, 
416: g1-s3, b0-s2->s0, y1-s2->s1, y0-s2, g0-s0, b1-s0, 
417: y0-s2, g1-s3, b0-s2->s0, y1-s2->s1, g0-s0, b1-s0, 
418: y0-s2, g1-s3, g0-s0, b1-s0, b0-s0, y1-s2->s1, 
419: y1-s1, y0-s2, g1-s3->s0, g0-s0, b1-s0, b0-s0, 
420: y1-s1, y0-s2, g1-s3->s0, g0-s0, b1-s0, b0-s0, 
421: g0-s0, b1-s0, b0-s0, y0-s2->s1, g1-s3->s0, y1-s1->s3, 
422: y0-s2->s1, b1-s0, b0-s0, g1-s0, y1-s3, g0-s0->s3, 
423: y0-s2->s1, b1-s0, y1-s3, g0-s0->s3, b0-s0, g1-s0, 
424: y1-s3, y0-s2->s1, b1-s0, b0-s0, g1-s0, g0-s0->s3, 
425: y0-s1, y1-s3, b1-s0, g0-s3, b0-s0, g1-s0, 
426: y0-s1, g0-s3, y1-s3->s1, b1-s0, b0-s0, g1-s0, 
427: b1-s0, y0-s1, g0-s3, b0-s0, y1-s1, g1-s0, 
428: y1-s1, g0-s3, y0-s1->s3, b1-s0, b0-s0, g1-s0, 
429: y1-s1, g0-s3, b1-s0->s2, b0-s0, y0-s3, g1-s0, 
430: y0-s3, b1-s0->s2, y1-s1->s2, g0-s3->s0, b0-s0, g1-s0, 
431: b1-s2, y1-s1->s2, g0-s3->s0, b0-s0, g1-s0, y0-s3, 
432: b1-s2, y1-s1->s2, g0-s3->s0, y0-s3->s1, b0-s0, g1-s0, 
433: y0-s1, b1-s2, y1-s1->s2, b0-s0, g1-s0, g0-s0, 
434: b1-s2, y1-s1->s2, y0-s1, b0-s0, g1-s0, g0-s0, 
435: y0-s1->s2, b0-s0, g1-s0, g0-s0, b1-s2, y1-s2, 
436: y0-s1->s2, b0-s0, b1-s2, g1-s0, y1-s2, g0-s0, 
437: y1-s2, y0-s1->s2, b1-s2->s3, b0-s0, g1-s0, g0-s0, 
438: y1-s2, b0-s0->s2, y0-s1->s2, b1-s2->s3, g1-s0, g0-s0, 
439: g1-s0, y1-s2, b1-s3, b0-s0->s2, g0-s0, y0-s2, 
440: y1-s2, b1-s3, y0-s2, b0-s2, g1-s0, g0-s0, 
441: g1-s0, y1-s2, b1-s3, g0-s0, y0-s2, b0-s2, 
442: b1-s3->s2, g1-s0, y1-s2, g0-s0, y0-s2, b0-s2, 
443: y1-s2->s1, g1-s0, y0-s2, g0-s0, b0-s2, b1-s3->s2, 
444: g1-s0, g0-s0, y0-s2, b0-s2, y1-s2->s1, b1-s2, 
445: y1-s2->s1, b0-s2, y0-s2, b1-s2, g1-s0, g0-s0, 
446: b0-s2, y1-s2->s1, g1-s0, b1-s2, y0-s2, g0-s0, 
447: b0-s2, g1-s0->s1, y1-s2->s1, g0-s0, b1-s2, y0-s2, 
448: g1-s1, y1-s1, g0-s0, b0-s2, b1-s2, y0-s2->s1, 
449: g0-s0, g1-s1, b0-s2, y0-s2->s1, y1-s1, b1-s2, 
450: g1-s1->s0, y0-s2->s1, b0-s2->s3, g0-s0, y1-s1, b1-s2, 
451: y0-s2->s1, b0-s2->s3, b1-s2, g0-s0, g1-s0, y1-s1, 
452: b1-s2, b0-s3, g0-s0->s1, g1-s0, y1-s1, y0-s1, 
453: b1-s2, b0-s3, g1-s0, y0-s1, g0-s1, y1-s1->s3, 
454: b1-s2, b0-s3, g1-s0, y0-s1, y1-s3, g0-s1, 
455: y1-s3, b0-s3->s2, g1-s0, y0-s1, g0-s1, b1-s2->s0, 
456: y1-s3, g1-s0->s3, y0-s1->s3, b1-s2->s0, b0-s3->s2, g0-s1, 
457: b0-s2, g0-s1->s0, y1-s3->s1, b1-s0, y0-s3, g1-s0->s3, 
458: y0-s3, g1-s0->s3, b1-s0, g0-s0, y1-s1, b0-s2, 
459: y0-s3, b1-s0->s2, g0-s0, y1-s1, b0-s2, g1-s3, 
460: y1-s1, b1-s0->s2, g0-s0, b0-s2->s0, y0-s3, g1-s3, 
461: y1-s1->s2, b0-s2->s0, g0-s0, b1-s2, g1-s3, y0-s3->s1, 
462: g1-s3, y1-s1->s2, g0-s0, b0-s0, y0-s1, b1-s2, 
463: y1-s1->s2, y0-s1, g0-s0, b0-s0, b1-s2, g1-s3, 
464: g0-s0->s3, y1-s1->s2, g1-s3->s0, b0-s0, b1-s2, y0-s1, 
465: b0-s0, b1-s2, g0-s0->s3, y1-s1->s2, y0-s1, g1-s3->s0, 
466: g0-s0->s3, b0-s0, y0-s1->s2, g1-s3->s0, b1-s2, y1-s2, 
467: y0-s1->s2, b0-s0, g1-s0, b1-s2->s3, y1-s2, g0-s3, 
468: y1-s2, b0-s0, y0-s1->s2, b1-s2->s3, g0-s3->s0, g1-s0, 
469: y1-s2, b1-s3, g0-s3->s0, b0-s0, g1-s0, y0-s1->s2, 
470: y1-s2, b1-s3, g0-s3->s0, b0-s0, y0-s2, g1-s0, 
471: b0-s0, g1-s0, g0-s0, b1-s3->s2, y0-s2, y1-s2->s1, 
472: b1-s3->s2, b0-s0, y1-s2->s1, g1-s0, y0-s2, g0-s0, 
473: b0-s0->s2, y1-s2->s1, g1-s0, y0-s2, g0-s0, b1-s2, 
474: b1-s2, b0-s0->s2, y1-s2->s1, g1-s0, y0-s2, g0-s0, 
475: g1-s0, b1-s2, y1-s2->s1, g0-s0, b0-s2, y0-s2, 
476: g0-s0, y1-s1, b0-s2, g1-s0->s1, b1-s2->s0, y0-s2->s1, 
477: b0-s2, b1-s2->s0, y0-s2->s1, y1-s1, g1-s0->s1, g0-s0, 
478: b1-s0, y1-s1, b0-s2, g0-s0->s1, g1-s1, y0-s2->s1, 
479: y0-s2->s1, b1-s0, g1-s1, b0-s2, y1-s1->s3, g0-s1, 
480: b0-s2, b1-s0, g0-s1, y0-s1, y1-s3, g1-s1->s0, 
481: b0-s2, y1-s3, b1-s0, y0-s1, g1-s1->s0, g0-s1, 
482: b0-s2->s3, b1-s0, y0-s1, y1-s3, g0-s1->s0, g1-s0, 
483: y1-s3, b0-s2->s3, b1-s0, g1-s0, g0-s0, y0-s1, 
484: b1-s0, b0-s3, y0-s1->s3, y1-s3->s1, g1-s0, g0-s0, 
485: y1-s1, b0-s3, b1-s0->s2, g1-s0, y0-s3, g0-s0, 
486: b0-s3, b1-s0->s2, y1-s1->s2, g1-s0, y0-s3, g0-s0, 
487: b1-s2, b0-s3, y0-s3, g1-s0, y1-s1->s2, g0-s0, 
488: b1-s2, g1-s0, y0-s3, y1-s1->s2, b0-s3->s2, g0-s0, 
489: b1-s2, y0-s3->s1, b0-s3->s2, g1-s0, g0-s0, y1-s1->s2, 
490: g1-s0, g0-s0, b1-s2, y0-s1, b0-s2, y1-s2, 
491: g1-s0, y0-s1->s2, g0-s0, b1-s2, b0-s2, y1-s2, 
492: b0-s2, y1-s2, g1-s0, y0-s1->s2, g0-s0, b1-s2->s3, 
493: b0-s2, y0-s1->s2, b1-s2->s3, g1-s0, y1-s2, g0-s0, 
494: b1-s3, g1-s0->s3, y0-s1->s2, g0-s0, y1-s2, b0-s2->s0, 
495: g0-s0, y1-s2, b1-s3, g1-s0->s3, b0-s2->s0, y0-s2, 
496: b1-s3, y1-s2, y0-s2, g0-s0, g1-s0->s3, b0-s0, 
497: y1-s2, b1-s3, g0-s0, y0-s2, g1-s3, b0-s0, 
498: y1-s2, b1-s3->s2, y0-s2, g0-s0, b0-s0, g1-s3, 
499: y0-s2, g1-s3, b1-s3->s2, y1-s2->s1, g0-s0, b0-s0, 
500: y0-s2, b1-s2, g0-s0, y1-s2->s1, g1-s3->s0, b0-s0, 
501: g0-s0, b0-s0, b1-s2, y1-s2->s1, g1-s3->s0, y0-s2, 
502: g0-s0, b1-s2, b0-s0, g1-s3->s0, y1-s2->s1, y0-s2, 
503: b1-s2, g0-s0->s3, y1-s2->s1, y0-s2, b0-s0, g1-s0, 
504: b0-s0, y1-s1, b1-s2, g0-s0->s3, y0-s2->s1, g1-s0, 
505: b1-s2, y0-s2->s1, y1-s1, g0-s0->s3, b0-s0, g1-s0, 
506: y1-s1, g1-s0, g0-s3, b0-s0->s2, b1-s2->s0, y0-s2->s1, 
507: g1-s0, g0-s3, b0-s0->s2, y1-s1->s3, b1-s2->s0, y0-s2->s1, 
508: y0-s1, b0-s2, g1-s0, g0-s3, b1-s0, y1-s3, 
509: b0-s2, g1-s0, g0-s3, y0-s1->s3, b1-s0, y1-s3, 
510: g1-s0, b0-s2->s3, b1-s0, y1-s3, y0-s3, g0-s3->s0, 
511: b0-s2->s3, g0-s3->s0, g1-s0, y1-s3, b1-s0, y0-s3, 
512: y1-s3->s1, y0-s3, b0-s3, g1-s0, g0-s3->s0, b1-s0, 
513: y1-s1, y0-s3, g1-s0->s1, b1-s0, b0-s3, g0-s0, 
514: b0-s3, b1-s0, y0-s3->s1, g0-s0, y1-s1, g1-s1, 
515: g1-s1, y0-s1, b1-s0, y1-s1->s2, g0-s0, b0-s3, 
516: g1-s1, b0-s3, y1-s1->s2, y0-s1, b1-s0, g0-s0, 
517: g1-s1, y0-s1, y1-s1->s2, b1-s0, g0-s0, b0-s3->s2, 
518: b1-s0, g0-s0, y1-s1->s2, y0-s1, g1-s1->s0, b0-s3->s2, 
519: b1-s0, y0-s1, b0-s2, g0-s0, y1-s2, g1-s0, 
520: b1-s0->s2, g0-s0, g1-s0, y0-s1->s2, b0-s2, y1-s2, 
521: y0-s1->s2, b0-s2->s0, g0-s0, y1-s2, g1-s0, b1-s0->s2, 
522: y1-s2, y0-s1->s2, b1-s2, g0-s0, b0-s2->s0, g1-s0, 
523: y0-s1->s2, g0-s0, g1-s0, b0-s0, y1-s2, b1-s2, 
524: g0-s0, y1-s2, g1-s0, b1-s2, b0-s0, y0-s2, 
525: g0-s0->s1, g1-s0, y1-s2, b0-s0, b1-s2, y0-s2, 
526: y1-s2->s1, g1-s0, b1-s2, b0-s0, y0-s2, g0-s1, 
527: y1-s2->s1, g1-s0, g0-s1, b1-s2, b0-s0, y0-s2, 
528: g1-s0, y0-s2, b0-s0, b1-s2->s3, g0-s1, y1-s2->s1, 
529: g1-s0, g0-s1->s0, y1-s2->s1, b0-s0, y0-s2, b1-s2->s3, 
530: g1-s0, b1-s3, b0-s0, g0-s0, y1-s2->s1, y0-s2, 
531: g1-s0, y1-s1, b0-s0, g0-s0, b1-s3->s2, y0-s2->s1, 
532: g1-s0, b1-s3->s2, b0-s0, y1-s1->s3, y0-s2->s1, g0-s0, 
533: g1-s0, b1-s2, y1-s3, b0-s0, g0-s0, y0-s2->s1, 
534: g1-s0->s3, b0-s0, g0-s0, y1-s3->s1, b1-s2, y0-s2->s1, 
535: b0-s0, y1-s1, b1-s2, g1-s0->s3, g0-s0, y0-s1, 
536: g1-s0->s3, b0-s0, y1-s1, g0-s0, y0-s1, b1-s2, 
537: g1-s3, b0-s0, g0-s0, b1-s2, y1-s1, y0-s1, 
538: g1-s3, y1-s1->s2, b1-s2->s0, b0-s0, y0-s1, g0-s0, 
539: g1-s3, b1-s2->s0, b0-s0, g0-s0, y0-s1->s3, y1-s1->s2, 
540: g0-s0, g1-s3->s0, b1-s0, y0-s3, b0-s0->s2, y1-s1->s2, 
541: g1-s3->s0, y0-s3->s1, b1-s0, b0-s0->s2, g0-s0->s3, y1-s1->s2, 
542: b1-s0, y0-s1, b0-s2, g0-s0->s3, y1-s2, g1-s3->s0, 
543: g0-s0->s3, y0-s1, b0-s2, y1-s2, b1-s0, g1-s0, 
544: y1-s2, g0-s3, b1-s0, g1-s0, b0-s2->s3, y0-s1, 
545: y0-s1->s2, b1-s0, g1-s0, b0-s2->s3, y1-s2, g0-s3, 
546: b1-s0->s2, y0-s1->s2, y1-s2, g0-s3, b0-s3, g1-s0, 
547: b1-s0->s2, y0-s1->s2, g1-s0, g0-s3->s0, y1-s2, b0-s3, 
548: y0-s1->s2, b1-s2, b0-s3, g1-s0, g0-s3->s0, y1-s2->s1, 
549: g1-s0, b1-s2, b0-s3, y1-s2->s1, g0-s3->s0, y0-s2, 
550: b0-s3, y1-s2->s1, g1-s0, b1-s2, g0-s0, y0-s2, 
551: y1-s2->s1, b0-s3->s2, g1-s0, b1-s2, g0-s0, y0-s2, 
552: b0-s3->s2, g1-s0, y1-s1, b1-s2, g0-s0, y0-s2, 
553: g1-s0, g0-s0, b1-s2, y1-s1, y0-s2, b0-s2, 
554: y0-s2, b0-s2, g1-s0, b1-s2->s3, g0-s0, y1-s1, 
555: y0-s2, g0-s0, b0-s2, b1-s2->s3, g1-s0->s1, y1-s1->s3, 
556: g0-s0, g1-s1, y0-s2, b1-s3, b0-s2, y1-s3, 
557: b0-s2, g1-s1->s0, y0-s2->s1, b1-s3, y1-s3, g0-s0, 
558: y0-s2->s1, b1-s3->s2, g0-s0, b0-s2, y1-s3, g1-s0, 
559: g0-s0, g1-s0, y1-s3, b0-s2, y0-s2->s1, b1-s3->s2, 
560: g0-s0, b0-s2, y1-s3, y0-s2->s1, g1-s0, b1-s2, 
561: y1-s3, g0-s0, y0-s1, b0-s2, g1-s0, b1-s2, 
562: g0-s0, b0-s2, g1-s0, b1-s2, y1-s3->s1, y0-s1->s3, 
563: b0-s2->s0, b1-s2, g0-s0->s1, g1-s0, y1-s1, y0-s3, 
564: b0-s2->s0, y0-s3->s1, g1-s0, y1-s1, b1-s2, g0-s1, 
565: g1-s0->s3, g0-s1, y0-s1, y1-s1->s2, b0-s2->s0, b1-s2, 
566: b0-s0, g0-s1, g1-s0->s3, b1-s2->s0, y0-s1, y1-s1->s2, 
567: b0-s0, y1-s1->s2, b1-s2->s0, g0-s1, y0-s1, g1-s0->s3, 
568: b0-s0, g1-s3, y1-s1->s2, b1-s0, y0-s1, g0-s1->s0, 
569: y1-s2, g1-s3, b0-s0, b1-s0, g0-s0, y0-s1, 
570: y1-s2, g1-s3, y0-s1, b0-s0, b1-s0, g0-s0, 
571: y1-s2, g1-s3, y0-s1->s2, b0-s0, b1-s0, g0-s0, 
572: y1-s2, y0-s1->s2, g1-s3->s0, b0-s0, b1-s0, g0-s0, 
573: y1-s2, b0-s0, b1-s0, g0-s0, g1-s3->s0, y0-s1->s2, 
574: y1-s2, b0-s0->s2, y0-s1->s2, b1-s0, g0-s0, g1-s3->s0, 
575: b0-s0->s2, b1-s0, y0-s2, y1-s2->s1, g0-s0, g1-s0, 
576: y0-s2, b1-s0, b0-s2, g0-s0, g1-s0, y1-s2->s1, 
577: b1-s0->s2, y1-s2->s1, g0-s0, y0-s2, g1-s0, b0-s2, 
578: b1-s0->s2, y1-s2->s1, y0-s2, g0-s0, g1-s0, b0-s2, 
579: y1-s2->s1, g0-s0, b0-s2, y0-s2, g1-s0, b1-s2, 
580: y0-s2->s1, g0-s0, g1-s0, y1-s1, b0-s2, b1-s2, 
581: y0-s2->s1, b0-s2, b1-s2, g0-s0, g1-s0, y1-s1, 
582: b1-s2, b0-s2->s3, g0-s0, g1-s0, y1-s1, y0-s2->s1, 
583: g0-s0, b1-s2, y0-s2->s1, g1-s0, b0-s2->s3, y1-s1->s3, 
584: g0-s0, y0-s1, b1-s2, b0-s3, g1-s0, y1-s3, 
585: g1-s0, y0-s1, b1-s2, y1-s3, b0-s3->s2, g0-s0->s3, 
586: g1-s0, b0-s3->s2, y0-s1, b1-s2, y1-s3, g0-s0->s3, 
587: b1-s2->s3, y0-s1->s3, b0-s2, y1-s3, g0-s0->s3, g1-s0, 
588: b0-s2, y1-s3, g0-s3, y0-s3, b1-s2->s3, g1-s0->s1, 
589: b0-s2->s0, g0-s3, y0-s3, b1-s3, y1-s3->s1, g1-s1, 
590: g1-s1, g0-s3, y1-s1, y0-s3, b1-s3, b0-s2->s0, 
591: b0-s0, g0-s3, y0-s3, b1-s3, g1-s1, y1-s1, 
592: g0-s3, g1-s1->s0, b0-s0, y1-s1, y0-s3, b1-s3, 
593: g0-s3->s0, y0-s3, b1-s3, b0-s0, g1-s0, y1-s1, 
594: b1-s3, b0-s0->s2, y1-s1->s2, g0-s3->s0, g1-s0, y0-s3->s1, 
595: y0-s1, b0-s0->s2, y1-s1->s2, g0-s3->s0, g1-s0, b1-s3->s2, 
596: b0-s2, y1-s1->s2, b1-s3->s2, g1-s0, g0-s0, y0-s1, 
597: y1-s1->s2, y0-s1, g1-s0, b0-s2, g0-s0, b1-s2, 
598: y1-s1->s2, y0-s1, g1-s0, g0-s0, b1-s2, b0-s2->s3, 
599: y0-s1->s2, b0-s2->s3, g1-s0, b1-s2, g0-s0, y1-s2, 
600: b0-s3, g1-s0, b1-s2, g0-s0, y1-s2, y0-s1->s2, 
601: g0-s0, b0-s3, g1-s0->s3, y0-s1->s2, b1-s2, y1-s2, 
602: b0-s3, g1-s0->s3, b1-s2->s0, g0-s0, y0-s1->s2, y1-s2, 
603: g0-s0->s1, b1-s2->s0, b0-s3->s2, y1-s2, g1-s0->s3, y0-s2, 
604: b0-s3->s2, b1-s0, g0-s1, y1-s2, y0-s2, g1-s3, 
605: g1-s3, g0-s1, y1-s2, y0-s2, b0-s2, b1-s0->s2, 
606: g1-s3, b1-s0->s2, g0-s1->s0, y1-s2, y0-s2, b0-s2, 
607: g1-s3, g0-s0, y1-s2, y0-s2, b0-s2, b1-s2, 
608: y1-s2->s1, g1-s3->s0, g0-s0, y0-s2, b0-s2, b1-s2, 
609: y1-s2->s1, y0-s2, b0-s2, b1-s2, g0-s0, g1-s3->s0, 
610: g1-s3->s0, g0-s0, y1-s2->s1, y0-s2, b0-s2, b1-s2, 
611: g0-s0, g1-s0, y0-s2, b0-s2, y1-s2->s1, b1-s2, 
612: y0-s2, b0-s2, b1-s2, g0-s0, g1-s0, y1-s1, 
613: g0-s0, g1-s0, y1-s1, b0-s2, b1-s2, y0-s2->s1, 
614: g1-s0, y1-s1, b0-s2, y0-s2->s1, b1-s2, g0-s0->s3, 
615: g0-s0->s3, y1-s1->s3, y0-s2->s1, g1-s0, b0-s2, b1-s2, 
616: y1-s3, g1-s0->s1, g0-s0->s3, y0-s2->s1, b0-s2, b1-s2, 
