0: g0-s0, g1-s7, y0-s5, y1-s6, b0-s0, b1-s5, 
1: g0-s0, g1-s7->s2, g2-s0, g3-s7, y0-s5, y1-s6, y2-s5, y3-s6, b0-s0, b1-s5, b2-s0, b3-s5, 
2: g0-s0, g1-s7->s2, g2-s0, g3-s7, g4-s0, g5-s7, y0-s5->s1, y1-s6, y2-s5, y3-s6, y4-s5, y5-s6, b0-s0, b1-s5, b2-s0, b3-s5, b4-s0, b5-s5, 
3: g0-s0, g1-s7->s2, g2-s0, g3-s7, g4-s0, g5-s7, g6-s0, g7-s7, y0-s5->s1, y1-s6, y2-s5, y3-s6, y4-s5, y5-s6, y6-s5, y7-s6, b0-s0, b1-s5, b2-s0, b3-s5, b4-s0, b5-s5, b6-s0, b7-s5, 
4: g0-s0->s1, g1-s7->s2, g2-s0, g3-s7, g4-s0, g5-s7, g6-s0, g7-s7, g8-s0, g9-s7, y0-s1, y1-s6->s4, y2-s5, y3-s6, y4-s5, y5-s6, y6-s5, y7-s6, y8-s5, y9-s6, b0-s0, b1-s5->s3, b2-s0, b3-s5, b4-s0, b5-s5, b6-s0, b7-s5, b8-s0, b9-s5, 
5: g0-s0->s1, g1-s7->s2, g2-s0, g3-s7, g4-s0, g5-s7, g6-s0, g7-s7, g8-s0, g9-s7, g10-s0, g11-s7, y0-s1, y1-s6->s4, y2-s5, y3-s6, y4-s5, y5-s6, y6-s5, y7-s6, y8-s5, y9-s6, y10-s5, y11-s6, b0-s0, b1-s5->s3, b2-s0, b3-s5, b4-s0, b5-s5, b6-s0, b7-s5, b8-s0, b9-s5, b10-s0, b11-s5, 
6: g0-s0->s1, g1-s2, g2-s0, g3-s7->s2, g4-s0, g5-s7, g6-s0, g7-s7, g8-s0, g9-s7, g10-s0, g11-s7, g12-s0, g13-s7, y0-s1, y1-s6->s4, y2-s5, y3-s6, y4-s5, y5-s6, y6-s5, y7-s6, y8-s5, y9-s6, y10-s5, y11-s6, y12-s5, y13-s6, b0-s0, b1-s5->s3, b2-s0, b3-s5, b4-s0, b5-s5, b6-s0, b7-s5, b8-s0, b9-s5, b10-s0, b11-s5, b12-s0, b13-s5, 
7: g0-s1, g1-s2, g2-s0, g3-s7->s2, g4-s0, g5-s7, g6-s0, g7-s7, g8-s0, g9-s7, g10-s0, g11-s7, g12-s0, g13-s7, g14-s0, g15-s7, y0-s1->s2, y1-s6->s4, y2-s5, y3-s6, y4-s5, y5-s6, y6-s5, y7-s6, y8-s5, y9-s6, y10-s5, y11-s6, y12-s5, y13-s6, y14-s5, y15-s6, b0-s0, b1-s5->s3, b2-s0, b3-s5, b4-s0, b5-s5, b6-s0, b7-s5, b8-s0, b9-s5, b10-s0, b11-s5, b12-s0, b13-s5, b14-s0, b15-s5, 
8: g0-s1, g1-s2->s1, g2-s0, g3-s7->s2, g4-s0, g5-s7, g6-s0, g7-s7, g8-s0, g9-s7, g10-s0, g11-s7, g12-s0, g13-s7, g14-s0, g15-s7, g16-s0, g17-s7, y0-s1->s2, y1-s6->s4, y2-s5, y3-s6, y4-s5, y5-s6, y6-s5, y7-s6, y8-s5, y9-s6, y10-s5, y11-s6, y12-s5, y13-s6, y14-s5, y15-s6, y16-s5, y17-s6, b0-s0, b1-s5->s3, b2-s0, b3-s5, b4-s0, b5-s5, b6-s0, b7-s5, b8-s0, b9-s5, b10-s0, b11-s5, b12-s0, b13-s5, b14-s0, b15-s5, b16-s0, b17-s5, 
9: g0-s1, g1-s2->s1, g2-s0, g3-s7->s2, g4-s0, g5-s7, g6-s0, g7-s7, g8-s0, g9-s7, g10-s0, g11-s7, g12-s0, g13-s7, g14-s0, g15-s7, g16-s0, g17-s7, g18-s0, g19-s7, y0-s1->s2, y1-s6->s4, y2-s5->s1, y3-s6, y4-s5, y5-s6, y6-s5, y7-s6, y8-s5, y9-s6, y10-s5, y11-s6, y12-s5, y13-s6, y14-s5, y15-s6, y16-s5, y17-s6, y18-s5, y19-s6, b0-s0, b1-s5->s3, b2-s0, b3-s5, b4-s0, b5-s5, b6-s0, b7-s5, b8-s0, b9-s5, b10-s0, b11-s5, b12-s0, b13-s5, b14-s0, b15-s5, b16-s0, b17-s5, b18-s0, b19-s5, 
181: g0-s0, g1-s1, g2-s0, g3-s1, g4-s0, g5-s1, g6-s2->s1, g7-s1, g8-s2, g9-s1, g10-s2, g11-s1, g12-s2, g13-s1, g14-s2, g15-s0, g16-s2, g17-s0, g18-s2, g19-s0, y0-s2, y1-s4, y2-s2, y3-s1->s2, y4-s2, y5-s1, y6-s2, y7-s1, y8-s2, y9-s1, y10-s2, y11-s1, y12-s2, y13-s1, y14-s6->s4, y15-s5, y16-s6, y17-s2, y18-s6, y19-s2, b0-s0, b1-s3->s5, b2-s0, b3-s3, b4-s0, b5-s3, b6-s0, b7-s3, b8-s0, b9-s3, b10-s0, b11-s3, b12-s1, b13-s1->s3, b14-s3, b15-s0->s1, b16-s5->s3, b17-s0, b18-s5, b19-s0, 
182: g0-s0, g1-s1, g2-s0, g3-s1, g4-s0, g5-s1, g6-s2->s1, g7-s1, g8-s2, g9-s1, g10-s2, g11-s1, g12-s2, g13-s1, g14-s2, g15-s0, g16-s2, g17-s0, g18-s2, g19-s0, y0-s2, y1-s4, y2-s2, y3-s1->s2, y4-s2, y5-s1, y6-s2, y7-s1, y8-s2, y9-s1, y10-s2, y11-s1, y12-s2, y13-s1, y14-s6->s4, y15-s5, y16-s6, y17-s2, y18-s6, y19-s2, b0-s0, b1-s3->s5, b2-s0, b3-s3, b4-s0, b5-s3, b6-s0, b7-s3, b8-s0, b9-s3, b10-s0, b11-s3, b12-s1->s0, b13-s3, b14-s3->s1, b15-s0->s1, b16-s5->s3, b17-s0, b18-s5, b19-s0, 
183: g0-s0, g1-s1->s2, g2-s0, g3-s1, g4-s0, g5-s1, g6-s2->s1, g7-s1, g8-s2, g9-s1, g10-s2, g11-s1, g12-s2, g13-s1, g14-s2, g15-s0, g16-s2, g17-s0, g18-s2, g19-s0, y0-s2, y1-s4, y2-s2, y3-s2, y4-s2, y5-s1, y6-s2, y7-s1, y8-s2, y9-s1, y10-s2, y11-s1, y12-s2, y13-s1, y14-s6->s4, y15-s5, y16-s6, y17-s2, y18-s6, y19-s2, b0-s0, b1-s3->s5, b2-s0, b3-s3, b4-s0, b5-s3, b6-s0, b7-s3, b8-s0, b9-s3, b10-s0, b11-s3, b12-s1->s0, b13-s3, b14-s3->s1, b15-s1, b16-s5->s3, b17-s0, b18-s5, b19-s0, 
184: g0-s0, g1-s1->s2, g2-s0, g3-s1, g4-s0, g5-s1, g6-s1, g7-s1, g8-s2, g9-s1, g10-s2, g11-s1, g12-s2, g13-s1, g14-s2, g15-s0->s1, g16-s2, g17-s0, g18-s2, g19-s0, y0-s2, y1-s4->s6, y2-s2, y3-s2, y4-s2, y5-s1, y6-s2, y7-s1, y8-s2, y9-s1, y10-s2, y11-s1, y12-s2, y13-s1, y14-s4, y15-s5, y16-s6->s4, y17-s2->s1, y18-s6, y19-s2, b0-s0, b1-s5, b2-s0, b3-s3->s5, b4-s0, b5-s3, b6-s0, b7-s3, b8-s0, b9-s3, b10-s0, b11-s3, b12-s1->s0, b13-s3, b14-s3->s1, b15-s1, b16-s5->s3, b17-s0, b18-s5, b19-s0, 
185: g0-s0, g1-s1->s2, g2-s0, g3-s1, g4-s0, g5-s1, g6-s1, g7-s1, g8-s2, g9-s1, g10-s2, g11-s1, g12-s2, g13-s1, g14-s2, g15-s0->s1, g16-s2, g17-s0, g18-s2, g19-s0, y0-s2, y1-s4->s6, y2-s2, y3-s2->s4, y4-s2, y5-s1, y6-s2, y7-s1, y8-s2, y9-s1, y10-s2, y11-s1, y12-s2, y13-s1, y14-s4, y15-s5, y16-s6->s4, y17-s2->s1, y18-s6, y19-s2, b0-s0, b1-s5, b2-s0, b3-s3->s5, b4-s0, b5-s3, b6-s0, b7-s3, b8-s0, b9-s3, b10-s0, b11-s3, b12-s0, b13-s3, b14-s3->s1, b15-s1, b16-s5->s3, b17-s0, b18-s5, b19-s0, 
186: g0-s0, g1-s1->s2, g2-s0, g3-s1, g4-s0, g5-s1, g6-s1, g7-s1, g8-s2, g9-s1, g10-s2, g11-s1, g12-s2, g13-s1, g14-s2, g15-s0->s1, g16-s2, g17-s0, g18-s2, g19-s0, y0-s2, y1-s4->s6, y2-s2, y3-s2->s4, y4-s2, y5-s1, y6-s2, y7-s1, y8-s2, y9-s1, y10-s2, y11-s1, y12-s2, y13-s1, y14-s4, y15-s5, y16-s6->s4, y17-s2->s1, y18-s6, y19-s2, b0-s0, b1-s5, b2-s0, b3-s3->s5, b4-s0, b5-s3, b6-s0, b7-s3, b8-s0, b9-s3, b10-s0, b11-s3, b12-s0, b13-s3, b14-s3->s1, b15-s1, b16-s5->s3, b17-s0, b18-s5, b19-s0, 
187: g0-s0, g1-s1->s2, g2-s0, g3-s1, g4-s0, g5-s1, g6-s1, g7-s1, g8-s2, g9-s1, g10-s2, g11-s1, g12-s2, g13-s1, g14-s2, g15-s1, g16-s2, g17-s0, g18-s2, g19-s0, y0-s2, y1-s4->s6, y2-s2, y3-s2->s4, y4-s2, y5-s1, y6-s2, y7-s1, y8-s2, y9-s1, y10-s2, y11-s1, y12-s2, y13-s1, y14-s4->s2, y15-s5, y16-s6->s4, y17-s2->s1, y18-s6, y19-s2, b0-s0, b1-s5, b2-s0, b3-s3->s5, b4-s0, b5-s3, b6-s0, b7-s3, b8-s0, b9-s3, b10-s0, b11-s3, b12-s0, b13-s3, b14-s3->s1, b15-s1, b16-s5->s3, b17-s0, b18-s5, b19-s0, 
188: g0-s0, g1-s1->s2, g2-s0, g3-s1, g4-s0, g5-s1, g6-s1, g7-s1, g8-s2, g9-s1, g10-s2, g11-s1, g12-s2, g13-s1, g14-s2, g15-s1, g16-s2, g17-s0, g18-s2, g19-s0, y0-s2, y1-s4->s6, y2-s2, y3-s2->s4, y4-s2, y5-s1, y6-s2, y7-s1, y8-s2, y9-s1, y10-s2, y11-s1, y12-s2, y13-s1, y14-s4->s2, y15-s5, y16-s6->s4, y17-s2->s1, y18-s6, y19-s2, b0-s0, b1-s5, b2-s0, b3-s3->s5, b4-s0, b5-s3, b6-s0, b7-s3, b8-s0, b9-s3, b10-s0, b11-s3, b12-s0, b13-s3, b14-s1, b15-s1->s3, b16-s3, b17-s0, b18-s5, b19-s0, 
189: g0-s0, g1-s1->s2, g2-s0, g3-s1, g4-s0, g5-s1, g6-s1->s0, g7-s1, g8-s2, g9-s1, g10-s2, g11-s1, g12-s2, g13-s1, g14-s2, g15-s1, g16-s2, g17-s0, g18-s2, g19-s0, y0-s2, y1-s4->s6, y2-s2, y3-s4, y4-s2, y5-s1, y6-s2, y7-s1, y8-s2, y9-s1, y10-s2, y11-s1, y12-s2, y13-s1, y14-s4->s2, y15-s5, y16-s6->s4, y17-s2->s1, y18-s6, y19-s2, b0-s0, b1-s5, b2-s0, b3-s3->s5, b4-s0, b5-s3, b6-s0, b7-s3, b8-s0, b9-s3, b10-s0, b11-s3, b12-s0, b13-s3, b14-s1, b15-s1->s3, b16-s3, b17-s0, b18-s5, b19-s0, 
190: g0-s0, g1-s1->s2, g2-s0, g3-s1, g4-s0, g5-s1, g6-s1->s0, g7-s1, g8-s2, g9-s1, g10-s2, g11-s1, g12-s2, g13-s1, g14-s2, g15-s1, g16-s2, g17-s0, g18-s2, g19-s0, y0-s2, y1-s4->s6, y2-s2, y3-s4, y4-s2, y5-s1, y6-s2, y7-s1, y8-s2, y9-s1, y10-s2, y11-s1, y12-s2, y13-s1, y14-s4->s2, y15-s5, y16-s6->s4, y17-s2->s1, y18-s6, y19-s2, b0-s0, b1-s5, b2-s0, b3-s3->s5, b4-s0, b5-s3, b6-s0, b7-s3, b8-s0, b9-s3, b10-s0, b11-s3, b12-s0, b13-s3, b14-s1, b15-s1->s3, b16-s3->s1, b17-s0, b18-s5, b19-s0, 
191: g0-s0, g1-s2, g2-s0, g3-s1, g4-s0, g5-s1, g6-s1->s0, g7-s1, g8-s2, g9-s1, g10-s2, g11-s1, g12-s2, g13-s1, g14-s2, g15-s1, g16-s2, g17-s0, g18-s2, g19-s0, y0-s2, y1-s4->s6, y2-s2, y3-s4, y4-s2, y5-s1->s2, y6-s2, y7-s1, y8-s2, y9-s1, y10-s2, y11-s1, y12-s2, y13-s1, y14-s2, y15-s5, y16-s6->s4, y17-s2->s1, y18-s6, y19-s2, b0-s0, b1-s5, b2-s0, b3-s3->s5, b4-s0, b5-s3, b6-s0, b7-s3, b8-s0, b9-s3, b10-s0, b11-s3, b12-s0, b13-s3, b14-s1, b15-s1->s3, b16-s3->s1, b17-s0, b18-s5, b19-s0, 
192: g0-s0, g1-s2->s7, g2-s0, g3-s1, g4-s0, g5-s1, g6-s0, g7-s1, g8-s2, g9-s1, g10-s2, g11-s1, g12-s2, g13-s1, g14-s2, g15-s1, g16-s2, g17-s0, g18-s2, g19-s0, y0-s2, y1-s4->s6, y2-s2, y3-s4, y4-s2, y5-s1->s2, y6-s2, y7-s1, y8-s2, y9-s1, y10-s2, y11-s1, y12-s2, y13-s1, y14-s2, y15-s5, y16-s6->s4, y17-s1, y18-s6, y19-s2->s1, b0-s0, b1-s5, b2-s0, b3-s3->s5, b4-s0, b5-s3, b6-s0, b7-s3, b8-s0, b9-s3, b10-s0, b11-s3, b12-s0, b13-s3, b14-s1->s0, b15-s1->s3, b16-s3->s1, b17-s0, b18-s5, b19-s0, 
193: g0-s0, g1-s2->s7, g2-s0, g3-s1, g4-s0, g5-s1, g6-s0, g7-s1, g8-s2, g9-s1, g10-s2, g11-s1, g12-s2, g13-s1, g14-s2, g15-s1, g16-s2, g17-s0, g18-s2, g19-s0, y0-s2, y1-s4->s6, y2-s2, y3-s4, y4-s2, y5-s1->s2, y6-s2, y7-s1, y8-s2, y9-s1, y10-s2, y11-s1, y12-s2, y13-s1, y14-s2, y15-s5, y16-s6->s4, y17-s1, y18-s6, y19-s2->s1, b0-s0, b1-s5, b2-s0, b3-s5, b4-s0, b5-s3->s5, b6-s0, b7-s3, b8-s0, b9-s3, b10-s0, b11-s3, b12-s0, b13-s3, b14-s1->s0, b15-s1->s3, b16-s3->s1, b17-s0->s1, b18-s5->s3, b19-s0, 
194: g0-s0, g1-s2->s7, g2-s0, g3-s1, g4-s0, g5-s1, g6-s0, g7-s1, g8-s2, g9-s1, g10-s2, g11-s1, g12-s2, g13-s1, g14-s2, g15-s1, g16-s2, g17-s0, g18-s2, g19-s0, y0-s2, y1-s6, y2-s2, y3-s4, y4-s2, y5-s1->s2, y6-s2, y7-s1, y8-s2, y9-s1, y10-s2, y11-s1, y12-s2, y13-s1, y14-s2, y15-s5, y16-s4, y17-s1, y18-s6->s4, y19-s2->s1, b0-s0, b1-s5, b2-s0, b3-s5, b4-s0, b5-s3->s5, b6-s0, b7-s3, b8-s0, b9-s3, b10-s0, b11-s3, b12-s0, b13-s3, b14-s1->s0, b15-s3, b16-s3->s1, b17-s0->s1, b18-s5->s3, b19-s0, 
195: g0-s0, g1-s2->s7, g2-s0, g3-s1, g4-s0, g5-s1, g6-s0, g7-s1, g8-s2, g9-s1, g10-s2, g11-s1, g12-s2, g13-s1, g14-s2, g15-s1, g16-s2, g17-s0, g18-s2, g19-s0, y0-s2, y1-s6, y2-s2, y3-s4, y4-s2, y5-s1->s2, y6-s2, y7-s1, y8-s2, y9-s1, y10-s2, y11-s1, y12-s2, y13-s1, y14-s2, y15-s5, y16-s4, y17-s1, y18-s6->s4, y19-s2->s1, b0-s0, b1-s5, b2-s0, b3-s5, b4-s0, b5-s3->s5, b6-s0, b7-s3, b8-s0, b9-s3, b10-s0, b11-s3, b12-s0, b13-s3, b14-s0, b15-s3, b16-s3->s1, b17-s0->s1, b18-s5->s3, b19-s0, 
196: g0-s0, g1-s2->s7, g2-s0, g3-s1, g4-s0, g5-s1, g6-s0, g7-s1, g8-s2, g9-s1, g10-s2, g11-s1, g12-s2, g13-s1, g14-s2, g15-s1, g16-s2, g17-s0, g18-s2, g19-s0, y0-s2, y1-s6, y2-s2, y3-s4->s6, y4-s2, y5-s1->s2, y6-s2, y7-s1, y8-s2, y9-s1, y10-s2, y11-s1, y12-s2, y13-s1, y14-s2, y15-s5, y16-s4, y17-s1, y18-s6->s4, y19-s2->s1, b0-s0, b1-s5, b2-s0, b3-s5, b4-s0, b5-s3->s5, b6-s0, b7-s3, b8-s0, b9-s3, b10-s0, b11-s3, b12-s0, b13-s3, b14-s0, b15-s3, b16-s1, b17-s1, b18-s5->s3, b19-s0, 
197: g0-s0, g1-s7, g2-s0, g3-s1, g4-s0, g5-s1, g6-s0, g7-s1, g8-s2, g9-s1, g10-s2, g11-s1, g12-s2, g13-s1, g14-s2, g15-s1, g16-s2, g17-s0, g18-s2, g19-s0, y0-s2, y1-s6, y2-s2, y3-s4->s6, y4-s2, y5-s1->s2, y6-s2, y7-s1, y8-s2, y9-s1, y10-s2, y11-s1, y12-s2, y13-s1, y14-s2, y15-s5, y16-s4, y17-s1->s5, y18-s6->s4, y19-s2->s1, b0-s0, b1-s5, b2-s0, b3-s5, b4-s0, b5-s3->s5, b6-s0, b7-s3, b8-s0, b9-s3, b10-s0, b11-s3, b12-s0, b13-s3, b14-s0, b15-s3, b16-s1, b17-s1->s3, b18-s5->s3, b19-s0, 
198: g0-s0, g1-s7, g2-s0, g3-s1, g4-s0, g5-s1, g6-s0, g7-s1, g8-s2, g9-s1, g10-s2, g11-s1, g12-s2, g13-s1, g14-s2, g15-s1, g16-s2, g17-s0, g18-s2, g19-s0, y0-s2, y1-s6, y2-s2, y3-s4->s6, y4-s2, y5-s1->s2, y6-s2, y7-s1, y8-s2, y9-s1, y10-s2, y11-s1, y12-s2, y13-s1, y14-s2, y15-s5, y16-s4, y17-s1->s5, y18-s6->s4, y19-s2->s1, b0-s0, b1-s5, b2-s0, b3-s5, b4-s0, b5-s3->s5, b6-s0, b7-s3, b8-s0, b9-s3, b10-s0, b11-s3, b12-s0, b13-s3, b14-s0, b15-s3, b16-s1, b17-s1->s3, b18-s5->s3, b19-s0->s1, 
199: g0-s0, g1-s7->s2, g2-s0, g3-s1->s2, g4-s0, g5-s1, g6-s0, g7-s1, g8-s2, g9-s1, g10-s2, g11-s1, g12-s2, g13-s1, g14-s2, g15-s1, g16-s2, g17-s0, g18-s2, g19-s0, y0-s2, y1-s6, y2-s2, y3-s4->s6, y4-s2, y5-s2, y6-s2, y7-s1, y8-s2, y9-s1, y10-s2, y11-s1, y12-s2, y13-s1, y14-s2, y15-s5, y16-s4, y17-s5, y18-s6->s4, y19-s2->s1, b0-s0, b1-s5, b2-s0, b3-s5, b4-s0, b5-s3->s5, b6-s0, b7-s3, b8-s0, b9-s3, b10-s0, b11-s3, b12-s0, b13-s3, b14-s0, b15-s3, b16-s1->s0, b17-s1->s3, b18-s5->s3, b19-s0->s1, 
200: g0-s0, g1-s7->s2, g2-s0, g3-s1->s2, g4-s0, g5-s1, g6-s0, g7-s1, g8-s2->s1, g9-s1, g10-s2, g11-s1, g12-s2, g13-s1, g14-s2, g15-s1, g16-s2, g17-s0, g18-s2, g19-s0, y0-s2, y1-s6, y2-s2, y3-s4->s6, y4-s2, y5-s2->s4, y6-s2, y7-s1, y8-s2, y9-s1, y10-s2, y11-s1, y12-s2, y13-s1, y14-s2, y15-s5->s1, y16-s4->s2, y17-s5, y18-s6->s4, y19-s1, b0-s0, b1-s5, b2-s0, b3-s5, b4-s0, b5-s3->s5, b6-s0, b7-s3, b8-s0, b9-s3, b10-s0, b11-s3, b12-s0, b13-s3, b14-s0, b15-s3, b16-s1->s0, b17-s1->s3, b18-s5->s3, b19-s0->s1, 
201: g0-s0, g1-s7->s2, g2-s0, g3-s1->s2, g4-s0, g5-s1, g6-s0, g7-s1, g8-s2->s1, g9-s1, g10-s2, g11-s1, g12-s2, g13-s1, g14-s2, g15-s1, g16-s2, g17-s0->s1, g18-s2, g19-s0, y0-s2, y1-s6, y2-s2, y3-s4->s6, y4-s2, y5-s2->s4, y6-s2, y7-s1, y8-s2, y9-s1, y10-s2, y11-s1, y12-s2, y13-s1, y14-s2, y15-s5->s1, y16-s4->s2, y17-s5, y18-s6->s4, y19-s1, b0-s0, b1-s5, b2-s0, b3-s5, b4-s0, b5-s3->s5, b6-s0, b7-s3, b8-s0, b9-s3, b10-s0, b11-s3, b12-s0, b13-s3, b14-s0, b15-s3, b16-s1->s0, b17-s1->s3, b18-s5->s3, b19-s1, 
202: g0-s0, g1-s7->s2, g2-s0, g3-s1->s2, g4-s0, g5-s1, g6-s0, g7-s1, g8-s2->s1, g9-s1, g10-s2, g11-s1, g12-s2, g13-s1, g14-s2, g15-s1, g16-s2, g17-s0->s1, g18-s2, g19-s0, y0-s2, y1-s6, y2-s2, y3-s4->s6, y4-s2, y5-s2->s4, y6-s2, y7-s1, y8-s2, y9-s1, y10-s2, y11-s1, y12-s2, y13-s1, y14-s2, y15-s1, y16-s4->s2, y17-s5, y18-s6->s4, y19-s1, b0-s0, b1-s5->s3, b2-s0, b3-s5, b4-s0, b5-s5, b6-s0, b7-s3->s5, b8-s0, b9-s3, b10-s0, b11-s3, b12-s0, b13-s3, b14-s0, b15-s3, b16-s0, b17-s1->s3, b18-s3, b19-s1, 
203: g0-s0, g1-s7->s2, g2-s0, g3-s1->s2, g4-s0, g5-s1, g6-s0, g7-s1, g8-s2->s1, g9-s1, g10-s2, g11-s1, g12-s2, g13-s1, g14-s2, g15-s1, g16-s2, g17-s0->s1, g18-s2, g19-s0, y0-s2, y1-s6, y2-s2, y3-s4->s6, y4-s2, y5-s2->s4, y6-s2, y7-s1, y8-s2, y9-s1, y10-s2, y11-s1, y12-s2, y13-s1, y14-s2, y15-s1, y16-s4->s2, y17-s5, y18-s6->s4, y19-s1, b0-s0, b1-s5->s3, b2-s0, b3-s5, b4-s0, b5-s5, b6-s0, b7-s3->s5, b8-s0, b9-s3, b10-s0, b11-s3, b12-s0, b13-s3, b14-s0, b15-s3, b16-s0, b17-s3, b18-s3, b19-s1, 
204: g0-s0, g1-s2, g2-s0, g3-s1->s2, g4-s0, g5-s1, g6-s0, g7-s1, g8-s2->s1, g9-s1, g10-s2, g11-s1, g12-s2, g13-s1, g14-s2, g15-s1, g16-s2, g17-s1, g18-s2, g19-s0, y0-s2, y1-s6->s4, y2-s2, y3-s4->s6, y4-s2, y5-s4, y6-s2, y7-s1, y8-s2, y9-s1, y10-s2, y11-s1, y12-s2, y13-s1, y14-s2, y15-s1, y16-s2, y17-s5, y18-s4, y19-s1->s5, b0-s0->s1, b1-s5->s3, b2-s0, b3-s5, b4-s0, b5-s5, b6-s0, b7-s3->s5, b8-s0, b9-s3, b10-s0, b11-s3, b12-s0, b13-s3, b14-s0, b15-s3, b16-s0, b17-s3, b18-s3, b19-s1, 
205: g0-s0, g1-s2, g2-s0, g3-s1->s2, g4-s0, g5-s1, g6-s0, g7-s1, g8-s2->s1, g9-s1, g10-s2, g11-s1, g12-s2, g13-s1, g14-s2, g15-s1, g16-s2, g17-s1, g18-s2, g19-s0, y0-s2, y1-s6->s4, y2-s2, y3-s4->s6, y4-s2, y5-s4, y6-s2, y7-s1, y8-s2, y9-s1, y10-s2, y11-s1, y12-s2, y13-s1, y14-s2, y15-s1, y16-s2, y17-s5, y18-s4, y19-s1->s5, b0-s0->s1, b1-s5->s3, b2-s0, b3-s5, b4-s0, b5-s5, b6-s0, b7-s3->s5, b8-s0, b9-s3, b10-s0, b11-s3, b12-s0, b13-s3, b14-s0, b15-s3, b16-s0, b17-s3, b18-s3->s1, b19-s1->s3, 
206: g0-s0, g1-s2, g2-s0, g3-s1->s2, g4-s0, g5-s1, g6-s0, g7-s1, g8-s2->s1, g9-s1, g10-s2, g11-s1, g12-s2, g13-s1, g14-s2, g15-s1, g16-s2, g17-s1, g18-s2, g19-s0, y0-s2, y1-s6->s4, y2-s2, y3-s6, y4-s2, y5-s4->s6, y6-s2, y7-s1, y8-s2, y9-s1, y10-s2, y11-s1, y12-s2, y13-s1, y14-s2, y15-s1, y16-s2, y17-s5, y18-s4, y19-s5, b0-s0->s1, b1-s5->s3, b2-s0, b3-s5, b4-s0, b5-s5, b6-s0, b7-s3->s5, b8-s0, b9-s3, b10-s0, b11-s3, b12-s0, b13-s3, b14-s0, b15-s3, b16-s0, b17-s3, b18-s3->s1, b19-s1->s3, 
207: g0-s0, g1-s2, g2-s0, g3-s2, g4-s0, g5-s1->s2, g6-s0, g7-s1, g8-s2->s1, g9-s1, g10-s2, g11-s1, g12-s2, g13-s1, g14-s2, g15-s1, g16-s2, g17-s1, g18-s2, g19-s0, y0-s2, y1-s6->s4, y2-s2, y3-s6, y4-s2, y5-s4->s6, y6-s2, y7-s1, y8-s2, y9-s1, y10-s2, y11-s1, y12-s2, y13-s1, y14-s2, y15-s1, y16-s2, y17-s5, y18-s4, y19-s5, b0-s1, b1-s5->s3, b2-s0, b3-s5, b4-s0, b5-s5, b6-s0, b7-s3->s5, b8-s0, b9-s3, b10-s0, b11-s3, b12-s0, b13-s3, b14-s0, b15-s3, b16-s0, b17-s3, b18-s3->s1, b19-s1->s3, 
208: g0-s0, g1-s2, g2-s0, g3-s2->s7, g4-s0, g5-s1->s2, g6-s0, g7-s1, g8-s1, g9-s1, g10-s2, g11-s1, g12-s2, g13-s1, g14-s2, g15-s1, g16-s2, g17-s1, g18-s2, g19-s0, y0-s2->s1, y1-s6->s4, y2-s2, y3-s6, y4-s2, y5-s4->s6, y6-s2, y7-s1, y8-s2, y9-s1, y10-s2, y11-s1, y12-s2, y13-s1, y14-s2, y15-s1, y16-s2, y17-s5, y18-s4->s2, y19-s5, b0-s1, b1-s5->s3, b2-s0, b3-s5, b4-s0, b5-s5, b6-s0, b7-s3->s5, b8-s0, b9-s3, b10-s0, b11-s3, b12-s0, b13-s3, b14-s0, b15-s3, b16-s0, b17-s3, b18-s3->s1, b19-s1->s3, 
209: g0-s0, g1-s2, g2-s0, g3-s2->s7, g4-s0, g5-s1->s2, g6-s0, g7-s1, g8-s1, g9-s1, g10-s2, g11-s1, g12-s2, g13-s1, g14-s2, g15-s1, g16-s2, g17-s1, g18-s2, g19-s0->s1, y0-s2->s1, y1-s6->s4, y2-s2, y3-s6, y4-s2, y5-s4->s6, y6-s2, y7-s1, y8-s2, y9-s1, y10-s2, y11-s1, y12-s2, y13-s1, y14-s2, y15-s1, y16-s2, y17-s5, y18-s4->s2, y19-s5, b0-s1, b1-s5->s3, b2-s0, b3-s5, b4-s0, b5-s5, b6-s0, b7-s3->s5, b8-s0, b9-s3, b10-s0, b11-s3, b12-s0, b13-s3, b14-s0, b15-s3, b16-s0, b17-s3, b18-s3->s1, b19-s1->s3, 
210: g0-s0, g1-s2, g2-s0, g3-s2->s7, g4-s0, g5-s1->s2, g6-s0, g7-s1, g8-s1, g9-s1, g10-s2, g11-s1, g12-s2, g13-s1, g14-s2, g15-s1, g16-s2, g17-s1, g18-s2, g19-s0->s1, y0-s2->s1, y1-s6->s4, y2-s2, y3-s6, y4-s2, y5-s4->s6, y6-s2, y7-s1, y8-s2, y9-s1, y10-s2, y11-s1, y12-s2, y13-s1, y14-s2, y15-s1, y16-s2, y17-s5, y18-s4->s2, y19-s5, b0-s1, b1-s5->s3, b2-s0, b3-s5, b4-s0, b5-s5, b6-s0, b7-s3->s5, b8-s0, b9-s3, b10-s0, b11-s3, b12-s0, b13-s3, b14-s0, b15-s3, b16-s0, b17-s3, b18-s3->s1, b19-s1->s3, 
